G,G1,M1,M2,T1,T2,T3,Title
1,0,,,,,,دارایی های جاری
1,1,,,,,,موجودی نقد
1,1,1,,,,,موجودی نزد بانک ها
1,1,1,1,,,,ریالی
1,1,1,1,1,,,صادرات
1,1,1,1,1,1,,جاری
1,1,1,1,1,1,1,104030043000 بهشتی
1,2,,,,,,سرمایه گذاری کوتاه مدت 
1,3,,,,,,حساب ها و اسناد دریافتنی تجاری
1,4,,,,,,سایر حسابهای دریافتنی
1,5,,,,,,موجودی مواد و کالا
1,6,,,,,,سفارشات و پیش پرداخت ها
1,7,,,,,,سپرده های ما نزد دیگران
2,0,,,,,,دارایی های غیر جاری
2,1,,,,,,دارایی های ثابت مشهود
2,1,1,,,,,زمین
2,1,1,1,,,,ایران
2,1,1,1,1,,,تبریز
2,2,,,,,,استهلاک انباشته دارایی های ثابت مشهود
2,3,,,,,,دارایی های در جزیان تکمیل
2,4,,,,,,دارایی های نا مشهود
2,5,,,,,,سرمایه گذاری های بلند مدت 
2,99,,,,,,سایر دارایی ها غیر جاری
3,0,,,,,,بدهی های جاری
3,1,,,,,,حسابها و اسناد پرداختنی تجاری
3,2,,,,,,سایر حسابها و اسناد پرداختنی
3,3,,,,,,سفارشات و پیش دریافتها
3,4,,,,,,ذخیره مالیات
3,5,,,,,,سود سهام پرداختنی
3,6,,,,,,سپرده های  پرداختنی
3,7,,,,,,تسهیلات و اعتبارات مالی دریافتی کوتاه مدت
3,8,,,,,,ذخایر
4,0,,,,,,بدهی های غیر جاری
4,1,,,,,,حساب ها و اسناد پرداختنی بلند مدت
4,2,,,,,,سایر حسابها و اسناد پرداختنی بلند مدت
4,3,,,,,,تسهیلات و اعتبارات مالی دریافتنی بلند مدت
4,4,,,,,,ذخیره مزایای پایان خدمت کارکنان
4,5,,,,,,درآمدهای انتقالی به دوره های آتی
5,0,,,,,,حقوق صاحبان سهام
5,1,,,,,,سرمایه پرداخت شده
5,2,,,,,,اندوخته قانونی
5,3,,,,,,سایر اندوخته ها
5,4,,,,,,مازاد تجدیدارزیابی دارایی ها
5,5,,,,,,سود و زیان انباشته
6,0,,,,,,درآمدها
6,1,,,,,,فروش
6,2,,,,,,درآمد حاصل از ارائه خدمات
6,3,,,,,,سایردرآمدهاي عملیاتی
6,4,,,,,,سایردرآمدهاي غیر عملیاتی
7,0,,,,,,بهاي تمام شده کالاوخدمات فروش رفته
7,1,,,,,,بهاي تمام شده کالا  فروش رفته داخلی
7,2,,,,,,بهاي تمام شده کالا  فروش رفته خارجی
7,3,,,,,,بهاي تمام شده  خدمات ارائه شده
8,0,,,,,,هزینه ها
8,1,,,,,,هزینه حقوق و دستمزد کارکنان غیر تولیدی
8,2,,,,,,هزینه های عملیاتی
8,3,,,,,,سایر هزینه های عملیاتی
8,4,,,,,,هزینه هاي مالی
8,5,,,,,,هزینه هاي غیر عملیاتی
9,0,,,,,,سایر حساب ها
9,1,,,,,,حسابهاي انتظامی
9,2,,,,,,طرف حسابهاي انتظامی
9,3,,,,,,تراز افتتاحیه
9,4,,,,,,تراز اختتامیه
